From bus,To bus,Line number,Maximum line capacity (active power [KW]),Maximum line capacity (reactive power [KVAR])
1,2,1,4600,4600
2,3,2,4100,4100
3,4,3,2900,2900
4,5,4,2900,2900
5,6,5,2900,2900
6,7,6,1500,1500
7,8,7,1050,1050
8,9,8,1050,1050
9,10,9,1050,1050
10,11,10,1050,1050
11,12,11,1050,1050
12,13,12,500,500
13,14,13,450,450
14,15,14,300,300
15,16,15,250,250
16,17,16,250,250
17,18,17,100,100
2,19,18,500,500
19,20,19,500,500
20,21,20,210,210
21,22,21,110,110
3,23,22,1050,1050
23,24,23,1050,1050
24,25,24,500,500
6,26,25,1500,1500
26,27,26,1500,1500
27,28,27,1500,1500
28,29,28,1500,1500
29,30,29,1500,1500
30,31,30,500,500
31,32,31,500,500
32,33,32,100,100
